audit_id,date,store_id,store_name,store_format,city,region,auditor_name,brand,product_name,sku_code,variant,size_ml,shelf_facings,total_shelf_facings,share_of_shelf_pct,shelf_level,shelf_position,in_stock,out_of_stock_duration_days,shelf_price,promo_price,on_promotion,display_type,planogram_compliant,competitor_brand,notes
AUD00023,2024-02-03,STR3105,Nature's Basket,Supermarket,Mumbai,West,Vikram Rao,Head & Shoulders,Head & Shoulders Color Protect Shampoo,HEA400COL94,Color Protect,400,4,37,10.81,Bottom,Right,True,0,615.0,,False,Clip Strip,True,Dove,
AUD00024,2024-12-22,STR1812,QuickMart,Convenience,Jaipur,North,Rahul Verma,Herbal Essences,Herbal Essences Charcoal Shampoo,HER340CHA12,Charcoal,340,8,35,22.86,Mid,Center-Left,True,0,437.71,,False,Standard Shelf,False,Pantene,
AUD00025,2024-08-18,STR5706,Reliance Fresh Extra,Hypermarket,Mumbai,West,Rahul Verma,Pantene,Pantene Color Protect Shampoo,PAN1000COL11,Color Protect,1000,4,39,10.26,Eye Level,Center,True,0,148.11,,False,End Cap,False,Garnier,
AUD00026,2024-10-10,STR2960,Nature's Basket,Supermarket,Delhi,North,Suresh Kumar,Rejoice,Rejoice Color Protect Shampoo,REJ1000COL68,Color Protect,1000,3,33,9.09,Eye Level,Center-Right,True,0,134.09,120.04,True,End Cap,True,Pantene,
AUD00027,2024-10-02,STR3638,D-Mart,Hypermarket,Jaipur,North,Neha Gupta,Rejoice,Rejoice Repair & Care Shampoo,REJ200REP96,Repair & Care,200,4,52,7.69,Mid,Left,True,0,552.98,,False,End Cap,True,Head & Shoulders,
AUD00028,2024-03-05,STR3687,In & Out,Convenience,Hyderabad,South,Divya Nair,Herbal Essences,Herbal Essences Strengthening Shampoo,HER500STR20,Strengthening,500,1,26,3.85,Mid,Center-Left,True,0,129.09,,False,Standard Shelf,True,TRESemmé,
AUD00029,2024-05-12,STR2456,Booker,Wholesale,Bangalore,South,Vikram Rao,L'Oréal,L'Oréal Argan Oil Shampoo,L'O200ARG97,Argan Oil,200,4,24,16.67,Mid,Center,True,0,341.12,,False,Standard Shelf,True,Herbal Essences,
AUD00030,2024-07-15,STR1058,In & Out,Convenience,Bangalore,South,Amit Singh,Sunsilk,Sunsilk Repair & Care Shampoo,SUN500REP43,Repair & Care,500,2,58,3.45,Mid,Right,True,0,452.31,390.96,True,Standard Shelf,True,L'Oréal,
AUD00031,2024-03-10,STR3026,Frank Ross,Pharmacy,Chennai,South,Anita Patel,L'Oréal,L'Oréal Moisturizing Shampoo,L'O200MOI10,Moisturizing,200,8,55,14.55,Top,Left,True,0,580.01,,False,Clip Strip,True,TRESemmé,
AUD00032,2024-11-18,STR5315,BigBazaar,Hypermarket,Jaipur,North,Suresh Kumar,Pantene,Pantene Smoothing Shampoo,PAN340SMO28,Smoothing,340,8,20,40.0,Mid,Center-Right,True,0,194.65,184.86,True,Gondola End,False,Garnier,
AUD00033,2024-02-23,STR9018,Costco India,Wholesale,Chennai,South,Anita Patel,Rejoice,Rejoice Charcoal Shampoo,REJ700CHA45,Charcoal,700,7,56,12.5,Bottom,Center-Left,True,0,560.7,,False,End Cap,True,Head & Shoulders,
AUD00034,2024-02-26,STR2153,MedPlus,Pharmacy,Surat,West,Divya Nair,Head & Shoulders,Head & Shoulders Anti-Dandruff Shampoo,HEA1000ANT58,Anti-Dandruff,1000,7,36,19.44,Top,Center-Left,True,0,567.71,,False,Free Standing Display,True,Clinic Plus,
AUD00035,2024-09-01,STR1703,Spencer's,Supermarket,Jaipur,North,Anita Patel,Dove,Dove Color Protect Shampoo,DOV700COL46,Color Protect,700,5,47,10.64,Bottom,Right,True,0,357.21,297.36,True,Standard Shelf,True,TRESemmé,
AUD00036,2024-09-06,STR7407,Nature's Basket,Supermarket,Bangalore,South,Divya Nair,TRESemmé,TRESemmé Strengthening Shampoo,TRE1000STR30,Strengthening,1000,6,23,26.09,Top,Center,True,0,242.27,,False,Standard Shelf,False,L'Oréal,
AUD00037,2024-03-07,STR2642,Spencer's,Supermarket,Pune,West,Suresh Kumar,Rejoice,Rejoice Argan Oil Shampoo,REJ340ARG62,Argan Oil,340,1,58,1.72,Bottom,Right,True,0,495.67,430.77,True,End Cap,True,Pantene,
AUD00038,2024-04-07,STR1090,Daily Needs,Convenience,Kolkata,East,Vikram Rao,Garnier,Garnier Anti-Dandruff Shampoo,GAR400ANT20,Anti-Dandruff,400,4,44,9.09,Bottom,Center,True,0,247.91,,False,End Cap,True,Pantene,
AUD00039,2024-01-18,STR8945,WholesaleMart,Wholesale,Delhi,North,Amit Singh,Clinic Plus,Clinic Plus Argan Oil Shampoo,CLI200ARG79,Argan Oil,200,1,27,3.7,Mid,Left,True,0,553.25,456.09,True,Gondola End,True,Pantene,
AUD00040,2024-05-18,STR1032,In & Out,Convenience,Surat,West,Neha Gupta,L'Oréal,L'Oréal Color Protect Shampoo,L'O500COL55,Color Protect,500,3,27,11.11,Bottom,Right,True,0,484.5,432.78,True,Standard Shelf,True,Herbal Essences,
AUD00041,2024-06-12,STR8050,Nature's Basket,Supermarket,Pune,West,Rahul Verma,Dove,Dove Moisturizing Shampoo,DOV400MOI75,Moisturizing,400,7,30,23.33,Bottom,Center,True,0,502.18,,False,Standard Shelf,True,Herbal Essences,
AUD00042,2024-09-16,STR6174,In & Out,Convenience,Pune,West,Suresh Kumar,Garnier,Garnier Charcoal Shampoo,GAR700CHA47,Charcoal,700,2,36,5.56,Mid,Left,True,0,512.5,,False,Standard Shelf,True,Rejoice,
AUD00043,2024-10-31,STR8890,Booker,Wholesale,Delhi,North,Amit Singh,Rejoice,Rejoice Strengthening Shampoo,REJ500STR72,Strengthening,500,5,46,10.87,Bottom,Center-Right,True,0,179.86,163.96,True,Clip Strip,False,L'Oréal,
AUD00044,2024-05-14,STR9080,BigBazaar,Hypermarket,Hyderabad,South,Amit Singh,Clinic Plus,Clinic Plus Color Protect Shampoo,CLI200COL23,Color Protect,200,2,24,8.33,Mid,Right,True,0,239.35,,False,Clip Strip,False,Rejoice,
AUD00045,2024-08-20,STR2402,D-Mart,Hypermarket,Delhi,North,Neha Gupta,TRESemmé,TRESemmé Smoothing Shampoo,TRE1000SMO95,Smoothing,1000,4,28,14.29,Bottom,Center,True,0,493.84,,False,Standard Shelf,True,Garnier,
AUD00046,2024-08-20,STR3060,Booker,Wholesale,Hyderabad,South,Vikram Rao,L'Oréal,L'Oréal Moisturizing Shampoo,L'O1000MOI54,Moisturizing,1000,4,21,19.05,Bottom,Center-Left,True,0,442.52,,False,End Cap,True,Pantene,
AUD00047,2024-03-23,STR3735,Frank Ross,Pharmacy,Ahmedabad,West,Priya Sharma,Herbal Essences,Herbal Essences Smoothing Shampoo,HER200SMO62,Smoothing,200,4,24,16.67,Mid,Center-Left,True,0,346.94,,False,Standard Shelf,True,Garnier,
AUD00048,2024-03-12,STR1367,Frank Ross,Pharmacy,Mumbai,West,Priya Sharma,Garnier,Garnier Volumizing Shampoo,GAR700VOL10,Volumizing,700,6,51,11.76,Eye Level,Center-Left,True,0,492.72,,False,End Cap,True,Pantene,
AUD00049,2024-05-06,STR9329,BigBazaar,Hypermarket,Chennai,South,Amit Singh,TRESemmé,TRESemmé Color Protect Shampoo,TRE500COL27,Color Protect,500,6,50,12.0,Bottom,Left,True,0,582.88,,False,End Cap,True,Herbal Essences,
AUD00050,2024-10-05,STR2350,Reliance Fresh,Supermarket,Pune,West,Amit Singh,Clinic Plus,Clinic Plus Argan Oil Shampoo,CLI700ARG66,Argan Oil,700,5,22,22.73,Eye Level,Right,True,0,454.01,,False,Standard Shelf,True,Dove,
AUD00051,2024-09-02,STR3910,Metro Cash & Carry,Wholesale,Pune,West,Vikram Rao,Sunsilk,Sunsilk Repair & Care Shampoo,SUN200REP50,Repair & Care,200,8,55,14.55,Eye Level,Center,True,0,241.02,,False,Clip Strip,True,Head & Shoulders,
AUD00052,2024-06-15,STR2756,Nature's Basket,Supermarket,Surat,West,Priya Sharma,Clinic Plus,Clinic Plus Strengthening Shampoo,CLI500STR70,Strengthening,500,5,32,15.62,Eye Level,Center-Right,True,0,613.81,,False,Clip Strip,False,L'Oréal,
AUD00053,2024-05-28,STR1180,Daily Needs,Convenience,Jaipur,North,Anita Patel,Head & Shoulders,Head & Shoulders Keratin Shampoo,HEA200KER14,Keratin,200,8,44,18.18,Top,Left,True,0,535.46,,False,Clip Strip,True,TRESemmé,
AUD00054,2024-11-13,STR7956,Reliance Fresh Extra,Hypermarket,Jaipur,North,Divya Nair,Herbal Essences,Herbal Essences Smoothing Shampoo,HER500SMO21,Smoothing,500,4,58,6.9,Bottom,Right,True,0,485.64,,False,Clip Strip,True,TRESemmé,
AUD00055,2024-08-08,STR7568,Nature's Basket,Supermarket,Delhi,North,Neha Gupta,Head & Shoulders,Head & Shoulders Moisturizing Shampoo,HEA700MOI79,Moisturizing,700,5,39,12.82,Bottom,Center,False,12,645.26,,False,End Cap,True,TRESemmé,
AUD00056,2024-02-14,STR6344,Metro Cash & Carry,Wholesale,Mumbai,West,Amit Singh,Herbal Essences,Herbal Essences Smoothing Shampoo,HER1000SMO30,Smoothing,1000,5,33,15.15,Eye Level,Right,True,0,335.36,285.35,True,End Cap,False,Rejoice,
AUD00057,2024-05-28,STR5459,Reliance Fresh,Supermarket,Jaipur,North,Rahul Verma,Garnier,Garnier Strengthening Shampoo,GAR340STR22,Strengthening,340,4,28,14.29,Mid,Center,True,0,255.27,,False,Free Standing Display,True,Rejoice,
AUD00058,2024-09-05,STR9742,MedPlus,Pharmacy,Surat,West,Suresh Kumar,L'Oréal,L'Oréal Smoothing Shampoo,L'O700SMO67,Smoothing,700,1,27,3.7,Eye Level,Right,False,2,589.77,524.55,True,End Cap,True,Dove,
AUD00059,2024-09-27,STR2794,Nature's Basket,Supermarket,Kolkata,East,Neha Gupta,Clinic Plus,Clinic Plus Anti-Dandruff Shampoo,CLI340ANT66,Anti-Dandruff,340,4,33,12.12,Top,Right,True,0,494.74,,False,Standard Shelf,True,TRESemmé,
AUD00060,2024-04-12,STR5342,More Supermarket,Supermarket,Surat,West,Vikram Rao,Clinic Plus,Clinic Plus Volumizing Shampoo,CLI340VOL49,Volumizing,340,7,24,29.17,Mid,Center,False,3,593.82,,False,Standard Shelf,True,Dove,
AUD00061,2024-06-23,STR7086,More Supermarket,Supermarket,Chennai,South,Suresh Kumar,Clinic Plus,Clinic Plus Moisturizing Shampoo,CLI700MOI47,Moisturizing,700,4,26,15.38,Mid,Center,False,3,512.15,,False,End Cap,True,Pantene,
AUD00062,2024-09-28,STR3388,MedPlus,Pharmacy,Jaipur,North,Anita Patel,Garnier,Garnier Smoothing Shampoo,GAR340SMO77,Smoothing,340,8,35,22.86,Mid,Center-Right,False,11,117.89,103.88,True,Standard Shelf,True,Pantene,
AUD00063,2024-02-11,STR7850,QuickMart,Convenience,Surat,West,Neha Gupta,Head & Shoulders,Head & Shoulders Smoothing Shampoo,HEA200SMO41,Smoothing,200,5,50,10.0,Mid,Center,True,0,298.48,,False,Clip Strip,True,L'Oréal,
AUD00064,2024-04-11,STR1798,Reliance Fresh Extra,Hypermarket,Bangalore,South,Neha Gupta,Clinic Plus,Clinic Plus Smoothing Shampoo,CLI1000SMO54,Smoothing,1000,4,38,10.53,Bottom,Left,True,0,242.06,,False,Free Standing Display,True,Garnier,
AUD00065,2024-06-09,STR9267,Metro Cash & Carry,Wholesale,Delhi,North,Vikram Rao,Dove,Dove Repair & Care Shampoo,DOV400REP25,Repair & Care,400,4,32,12.5,Eye Level,Center-Left,True,0,167.4,,False,Gondola End,False,Pantene,
AUD00066,2024-04-24,STR4300,Booker,Wholesale,Pune,West,Amit Singh,Herbal Essences,Herbal Essences Volumizing Shampoo,HER700VOL28,Volumizing,700,4,29,13.79,Mid,Left,True,0,607.85,,False,Standard Shelf,False,L'Oréal,
AUD00067,2024-07-13,STR7594,Wellness Forever,Pharmacy,Jaipur,North,Vikram Rao,Sunsilk,Sunsilk Strengthening Shampoo,SUN1000STR74,Strengthening,1000,1,44,2.27,Eye Level,Left,False,10,442.53,,False,Standard Shelf,True,Garnier,
AUD00068,2024-11-03,STR6502,Wellness Forever,Pharmacy,Chennai,South,Amit Singh,Clinic Plus,Clinic Plus Keratin Shampoo,CLI340KER63,Keratin,340,4,48,8.33,Eye Level,Right,True,0,554.09,,False,Gondola End,True,Garnier,
AUD00069,2024-02-13,STR2298,HyperCity,Hypermarket,Ahmedabad,West,Neha Gupta,Dove,Dove Strengthening Shampoo,DOV1000STR83,Strengthening,1000,2,55,3.64,Bottom,Right,True,0,205.56,173.11,True,Standard Shelf,True,Sunsilk,
AUD00070,2024-05-11,STR9614,Metro Cash & Carry,Wholesale,Bangalore,South,Priya Sharma,Clinic Plus,Clinic Plus Anti-Dandruff Shampoo,CLI500ANT53,Anti-Dandruff,500,3,38,7.89,Bottom,Center,True,0,315.62,,False,Standard Shelf,False,Head & Shoulders,
AUD00071,2024-04-08,STR4339,WholesaleMart,Wholesale,Ahmedabad,West,Rahul Verma,Clinic Plus,Clinic Plus Charcoal Shampoo,CLI200CHA73,Charcoal,200,8,56,14.29,Eye Level,Center-Left,False,9,364.47,,False,Standard Shelf,False,Rejoice,
AUD00072,2024-01-28,STR3011,More Supermarket,Supermarket,Hyderabad,South,Neha Gupta,Garnier,Garnier Strengthening Shampoo,GAR700STR52,Strengthening,700,7,58,12.07,Bottom,Right,True,0,389.6,,False,Standard Shelf,True,TRESemmé,
AUD00073,2024-09-17,STR9515,Wellness Forever,Pharmacy,Kolkata,East,Anita Patel,Clinic Plus,Clinic Plus Smoothing Shampoo,CLI700SMO86,Smoothing,700,6,41,14.63,Mid,Center-Right,True,0,499.38,,False,Standard Shelf,True,Dove,
AUD00074,2024-08-10,STR1232,Apollo Pharmacy,Pharmacy,Kolkata,East,Anita Patel,Dove,Dove Moisturizing Shampoo,DOV200MOI30,Moisturizing,200,5,57,8.77,Eye Level,Left,True,0,574.98,,False,Gondola End,True,Head & Shoulders,
AUD00075,2024-12-20,STR1410,Nature's Basket,Supermarket,Jaipur,North,Suresh Kumar,Pantene,Pantene Volumizing Shampoo,PAN1000VOL28,Volumizing,1000,5,25,20.0,Eye Level,Center,True,0,322.7,,False,Clip Strip,True,Dove,
AUD00076,2024-09-10,STR1033,Frank Ross,Pharmacy,Pune,West,Amit Singh,Sunsilk,Sunsilk Volumizing Shampoo,SUN500VOL58,Volumizing,500,3,46,6.52,Mid,Center-Right,True,0,519.05,,False,Gondola End,True,Clinic Plus,
AUD00077,2024-05-20,STR6968,D-Mart,Hypermarket,Hyderabad,South,Vikram Rao,Garnier,Garnier Smoothing Shampoo,GAR1000SMO96,Smoothing,1000,5,35,14.29,Bottom,Center,False,9,635.48,,False,Standard Shelf,True,Sunsilk,
AUD00078,2024-04-27,STR1642,Wellness Forever,Pharmacy,Ahmedabad,West,Rahul Verma,Dove,Dove Argan Oil Shampoo,DOV1000ARG78,Argan Oil,1000,5,54,9.26,Mid,Center-Right,True,0,593.82,,False,End Cap,True,Clinic Plus,
AUD00079,2024-03-22,STR4055,More Supermarket,Supermarket,Pune,West,Rahul Verma,Dove,Dove Keratin Shampoo,DOV200KER45,Keratin,200,6,46,13.04,Mid,Center-Left,True,0,380.47,,False,Free Standing Display,False,Garnier,
AUD00080,2024-06-22,STR7935,7-Eleven,Convenience,Delhi,North,Amit Singh,Garnier,Garnier Keratin Shampoo,GAR700KER70,Keratin,700,1,54,1.85,Bottom,Center,True,0,528.08,437.35,True,Standard Shelf,True,Dove,
AUD00081,2024-08-04,STR7777,HyperCity,Hypermarket,Jaipur,North,Priya Sharma,Clinic Plus,Clinic Plus Keratin Shampoo,CLI340KER11,Keratin,340,4,39,10.26,Mid,Right,True,0,432.9,399.08,True,Standard Shelf,True,Pantene,
AUD00082,2024-04-23,STR5650,Booker,Wholesale,Ahmedabad,West,Neha Gupta,L'Oréal,L'Oréal Argan Oil Shampoo,L'O700ARG52,Argan Oil,700,6,42,14.29,Eye Level,Center,True,0,423.89,,False,Standard Shelf,True,Head & Shoulders,
AUD00083,2024-07-20,STR8657,Reliance Fresh,Supermarket,Mumbai,West,Neha Gupta,Rejoice,Rejoice Keratin Shampoo,REJ200KER42,Keratin,200,2,20,10.0,Eye Level,Center-Right,True,0,256.45,,False,Gondola End,False,Sunsilk,
AUD00084,2024-07-24,STR5683,Wellness Forever,Pharmacy,Surat,West,Amit Singh,Clinic Plus,Clinic Plus Strengthening Shampoo,CLI1000STR98,Strengthening,1000,5,60,8.33,Top,Right,True,0,371.74,324.83,True,Clip Strip,True,L'Oréal,
AUD00085,2024-05-17,STR9963,D-Mart,Hypermarket,Chennai,South,Anita Patel,Clinic Plus,Clinic Plus Color Protect Shampoo,CLI700COL65,Color Protect,700,3,40,7.5,Mid,Center-Right,True,0,246.73,,False,End Cap,True,Sunsilk,
AUD00086,2024-05-07,STR8594,In & Out,Convenience,Surat,West,Priya Sharma,L'Oréal,L'Oréal Volumizing Shampoo,L'O500VOL46,Volumizing,500,4,37,10.81,Mid,Center-Right,True,0,481.86,,False,Standard Shelf,True,Sunsilk,
AUD00087,2024-08-12,STR5189,Reliance Fresh Extra,Hypermarket,Hyderabad,South,Neha Gupta,Head & Shoulders,Head & Shoulders Volumizing Shampoo,HEA500VOL26,Volumizing,500,8,30,26.67,Eye Level,Center-Right,False,8,567.48,,False,End Cap,True,L'Oréal,
AUD00088,2024-12-09,STR8654,HyperCity,Hypermarket,Surat,West,Suresh Kumar,Garnier,Garnier Argan Oil Shampoo,GAR200ARG73,Argan Oil,200,6,42,14.29,Top,Left,True,0,233.47,,False,Gondola End,True,Head & Shoulders,
AUD00089,2024-11-26,STR6562,HyperCity,Hypermarket,Jaipur,North,Rahul Verma,L'Oréal,L'Oréal Color Protect Shampoo,L'O500COL44,Color Protect,500,4,37,10.81,Eye Level,Center-Left,True,0,144.83,,False,End Cap,False,Dove,
AUD00090,2024-11-19,STR6163,Costco India,Wholesale,Ahmedabad,West,Vikram Rao,Head & Shoulders,Head & Shoulders Smoothing Shampoo,HEA500SMO11,Smoothing,500,2,46,4.35,Top,Center,True,0,105.93,,False,Free Standing Display,False,Dove,
AUD00091,2024-05-03,STR5709,Reliance Fresh,Supermarket,Hyderabad,South,Priya Sharma,Head & Shoulders,Head & Shoulders Argan Oil Shampoo,HEA500ARG78,Argan Oil,500,4,58,6.9,Top,Right,True,0,605.87,523.85,True,Free Standing Display,False,Dove,
AUD00092,2024-12-14,STR4451,Daily Needs,Convenience,Mumbai,West,Neha Gupta,TRESemmé,TRESemmé Volumizing Shampoo,TRE700VOL48,Volumizing,700,7,45,15.56,Top,Right,True,0,177.33,,False,Clip Strip,True,Pantene,
AUD00093,2024-07-13,STR6884,Spencer's,Supermarket,Pune,West,Rahul Verma,TRESemmé,TRESemmé Keratin Shampoo,TRE200KER51,Keratin,200,6,53,11.32,Bottom,Center,True,0,305.06,,False,Gondola End,True,Pantene,
AUD00094,2024-08-02,STR4576,Apollo Pharmacy,Pharmacy,Hyderabad,South,Anita Patel,Herbal Essences,Herbal Essences Volumizing Shampoo,HER200VOL34,Volumizing,200,8,29,27.59,Bottom,Center-Right,True,0,606.39,553.88,True,Standard Shelf,True,Head & Shoulders,
AUD00095,2024-04-06,STR3656,Metro Cash & Carry,Wholesale,Pune,West,Amit Singh,Garnier,Garnier Charcoal Shampoo,GAR340CHA96,Charcoal,340,1,33,3.03,Bottom,Center-Left,True,0,264.96,,False,Free Standing Display,True,Rejoice,
AUD00096,2024-11-07,STR1464,More Supermarket,Supermarket,Surat,West,Anita Patel,Herbal Essences,Herbal Essences Volumizing Shampoo,HER1000VOL77,Volumizing,1000,1,22,4.55,Eye Level,Center-Right,True,0,446.49,379.41,True,Clip Strip,True,L'Oréal,
AUD00097,2024-02-20,STR7137,Frank Ross,Pharmacy,Surat,West,Priya Sharma,TRESemmé,TRESemmé Strengthening Shampoo,TRE700STR49,Strengthening,700,1,43,2.33,Bottom,Center,True,0,451.96,,False,Standard Shelf,False,Pantene,
AUD00098,2024-10-20,STR6856,Reliance Fresh,Supermarket,Hyderabad,South,Anita Patel,TRESemmé,TRESemmé Volumizing Shampoo,TRE400VOL62,Volumizing,400,6,38,15.79,Bottom,Center-Right,True,0,178.29,,False,Standard Shelf,True,Garnier,
AUD00099,2024-01-17,STR4418,HyperCity,Hypermarket,Bangalore,South,Suresh Kumar,TRESemmé,TRESemmé Anti-Dandruff Shampoo,TRE400ANT95,Anti-Dandruff,400,3,37,8.11,Mid,Right,True,0,324.39,,False,Standard Shelf,False,L'Oréal,
AUD00100,2024-08-07,STR8889,Frank Ross,Pharmacy,Mumbai,West,Divya Nair,TRESemmé,TRESemmé Repair & Care Shampoo,TRE400REP65,Repair & Care,400,1,48,2.08,Top,Center-Right,True,0,539.13,,False,Standard Shelf,True,Clinic Plus,
AUD00101,2024-06-05,STR4732,Nature's Basket,Supermarket,Mumbai,West,Priya Sharma,Head & Shoulders,Head & Shoulders Color Protect Shampoo,HEA340COL85,Color Protect,340,6,30,20.0,Mid,Center,True,0,156.07,,False,Standard Shelf,True,Dove,
AUD00102,2024-09-30,STR5588,Booker,Wholesale,Surat,West,Neha Gupta,Rejoice,Rejoice Anti-Dandruff Shampoo,REJ400ANT56,Anti-Dandruff,400,1,46,2.17,Top,Center-Right,True,0,576.11,,False,Clip Strip,False,Pantene,
AUD00103,2024-01-24,STR7265,MedPlus,Pharmacy,Kolkata,East,Anita Patel,Dove,Dove Keratin Shampoo,DOV200KER20,Keratin,200,7,48,14.58,Top,Center-Right,True,0,649.34,,False,Standard Shelf,False,Sunsilk,
